Unnamed: 0,name,price,brand,model,ref,mvmt,casem,bracem,yop,cond,sex,size,condition
0,"Audemars Piguet Royal Oak Offshore Chronograph 
'25th Anniversary'","$43,500",Audemars Piguet,Royal Oak Offshore Chronograph,26237ST.OO.1000ST.01,unknown,unknown,unknown,2019,Unworn,Men's watch/Unisex,42 mm,unknown
1,"Audemars Piguet Royal Oak 
Selfwinding 39mm Blue Dial","$71,500",Audemars Piguet,Royal Oak Selfwinding,15300ST.OO.1220ST.02,unknown,unknown,unknown,2012,Very good,Men's watch/Unisex,39 mm,unknown
2,"Audemars Piguet Royal Oak Chronograph
Blue Dial - BV Limited Edition 10 Dlc - Pvd","$79,191",Audemars Piguet,Royal Oak Chronograph,26331ST,Automatic,Steel,Steel,Unknown,Unworn,unknown,41 mm,unknown
3,"Audemars Piguet Royal Oak Chronograph
Selfwinding Chronograph Blue Dial","$108,000",Audemars Piguet,Royal Oak Chronograph,26715ST.OO.1356ST.01,Automatic,Steel,Steel,2022 (Approximation),New,Men's watch/Unisex,38 mm,unknown
4,"Audemars Piguet Royal Oak Offshore Chronograph
Cronografo 42mm Panda Dial 26170STOO1000ST01","$27,500",Audemars Piguet,Royal Oak Offshore Chronograph,26170ST.OO.1000ST.01,Automatic,Steel,Steel,Unknown,Very good,Men's watch/Unisex,42 x 54 mm,unknown
5,"Audemars Piguet Royal Oak Offshore Diver
2018 Unworn Royal Oak Offshore Diver (Limit 200pics)","$41,000",Audemars Piguet,Royal Oak Offshore Diver,15710ST.OO.A051CA.01,Automatic,Steel,Rubber,2018 (Approximation),Unworn,Men's watch/Unisex,42 mm,unknown
6,"Audemars Piguet Royal Oak Offshore Diver Chronograph
26703ST.OO.A051CA.01","$43,500",Audemars Piguet,Royal Oak Offshore Diver Chronograph,26703ST.OO.A051CA.01,Automatic,Steel,Rubber,2016 (Approximation),Very good,Men's watch/Unisex,42 mm,unknown
7,"Audemars Piguet Royal Oak Offshore Chronograph
26470IO.OO.A006CA.01","$37,800",Audemars Piguet,Royal Oak Offshore Chronograph,26470IO.OO.A006CA.01,Automatic,Titanium,Rubber,2019,Very good,Men's watch/Unisex,42 mm,unknown
8,"Audemars Piguet Royal Oak Dual Time
26120ST.OO.1220ST.03","$32,182",Audemars Piguet,Royal Oak Dual Time,26120ST.OO.1220ST.03,unknown,unknown,unknown,2015,Good,Men's watch/Unisex,39 mm,unknown
9,"Audemars Piguet Royal Oak Offshore Chronograph
26401.RO.OO.A002.CA.01","$36,473",Audemars Piguet,Royal Oak Offshore Chronograph,26401.RO.OO.A002.CA.01,unknown,unknown,unknown,2016,Good,Men's watch/Unisex,44 mm,unknown
10,"Audemars Piguet Royal Oak Offshore Chronograph
2021FullSet Royal Oak Offshore Chronograph","$35,000",Audemars Piguet,Royal Oak Offshore Chronograph,26470ST.OO.A099CR.01,Automatic,Steel,Crocodile skin,Unknown,Very good,Men's watch/Unisex,42 mm,unknown
11,"Audemars Piguet Royal Oak Double Balance Wheel Openworked
41mm","$304,818",Audemars Piguet,Royal Oak Double Balance Wheel Openworked,15416CE.OO.1225CE.01,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,41 mm,unknown
12,"Audemars Piguet Royal Oak Tourbillon
SELFWINDING FLYING TOURBILLON ""50TH ANNIVERSARY""","$412,810",Audemars Piguet,Royal Oak Tourbillon,26730OR.OO.1320OR.01,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,41 mm,unknown
13,"Audemars Piguet Royal Oak Selfwinding
15551OR.ZZ.1356OR.04","$88,834",Audemars Piguet,Royal Oak Selfwinding,15551OR.ZZ.1356OR.04,unknown,unknown,unknown,Unknown,New,Women's watch,37 mm,unknown
14,"Audemars Piguet Royal Oak Chronograph
26331ST.OO.1220ST.02","$45,484",Audemars Piguet,Royal Oak Chronograph,26331ST.OO.1220ST.02,unknown,unknown,unknown,Unknown,Very good,Men's watch/Unisex,41 mm,unknown
15,"Audemars Piguet Royal Oak Chronograph
“50th Anniversary” Royal Oak","$98,692",Audemars Piguet,Royal Oak Chronograph,26240OR.OO.D002CR.01,unknown,unknown,unknown,2022,Unworn,Men's watch/Unisex,41 mm,unknown
