Unnamed: 0,"name Audemars Piguet Royal Oak Offshore Chronograph 
'25th Anniversary'",price,brand,model,ref,mvmt,casem,bracem,yop,cond,sex,size,condition
1,"Audemars Piguet Royal Oak 
Selfwinding 39mm Blue Dial Audemars Piguet Royal Oak Chronograph
Blue Dial - BV Limited Edition 10 Dlc - Pvd","$71,500",Audemars Piguet,Royal Oak Selfwinding,15300ST.OO.1220ST.02,unknown,unknown,unknown,2012,Very good,Men's watch/Unisex,39 mm,unknown
3,"Audemars Piguet Royal Oak Chronograph
Selfwinding Chronograph Blue Dial Audemars Piguet Royal Oak Offshore Chronograph
Cronografo 42mm Panda Dial 26170STOO1000ST01","$108,000",Audemars Piguet,Royal Oak Chronograph,26715ST.OO.1356ST.01,Automatic,Steel,Steel,2022 (Approximation),New,Men's watch/Unisex,38 mm,unknown
5,"Audemars Piguet Royal Oak Offshore Diver
2018 Unworn Royal Oak Offshore Diver (Limit 200pics) Audemars Piguet Royal Oak Offshore Diver Chronograph
26703ST.OO.A051CA.01","$41,000",Audemars Piguet,Royal Oak Offshore Diver,15710ST.OO.A051CA.01,Automatic,Steel,Rubber,2018 (Approximation),Unworn,Men's watch/Unisex,42 mm,unknown
7,"Audemars Piguet Royal Oak Offshore Chronograph
26470IO.OO.A006CA.01 Audemars Piguet Royal Oak Dual Time
26120ST.OO.1220ST.03","$37,800",Audemars Piguet,Royal Oak Offshore Chronograph,26470IO.OO.A006CA.01,Automatic,Titanium,Rubber,2019,Very good,Men's watch/Unisex,42 mm,unknown
9,"Audemars Piguet Royal Oak Offshore Chronograph
26401.RO.OO.A002.CA.01 Audemars Piguet Royal Oak Offshore Chronograph
2021FullSet Royal Oak Offshore Chronograph","$36,473",Audemars Piguet,Royal Oak Offshore Chronograph,26401.RO.OO.A002.CA.01,unknown,unknown,unknown,2016,Good,Men's watch/Unisex,44 mm,unknown
11,"Audemars Piguet Royal Oak Double Balance Wheel Openworked
41mm Audemars Piguet Royal Oak Tourbillon
SELFWINDING FLYING TOURBILLON ""50TH ANNIVERSARY""","$304,818",Audemars Piguet,Royal Oak Double Balance Wheel Openworked,15416CE.OO.1225CE.01,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,41 mm,unknown
13,"Audemars Piguet Royal Oak Selfwinding
15551OR.ZZ.1356OR.04 Audemars Piguet Royal Oak Chronograph
26331ST.OO.1220ST.02","$88,834",Audemars Piguet,Royal Oak Selfwinding,15551OR.ZZ.1356OR.04,unknown,unknown,unknown,Unknown,New,Women's watch,37 mm,unknown
15,"Audemars Piguet Royal Oak Chronograph
“50th Anniversary” Royal Oak Audemars Piguet Royal Oak Selfwinding
18K rose gold selfwinding","$98,692",Audemars Piguet,Royal Oak Chronograph,26240OR.OO.D002CR.01,unknown,unknown,unknown,2022,Unworn,Men's watch/Unisex,41 mm,unknown
17,"Audemars Piguet Royal Oak Chronograph
26320OR.OO.1220OR.01 Audemars Piguet Royal Oak Double Balance Wheel Openworked
15407OR.OO.1220OR.01","$51,206",Audemars Piguet,Royal Oak Chronograph,26320OR.OO.1220OR.01,unknown,unknown,unknown,Unknown,Very good,Men's watch/Unisex,41 mm,unknown
19,"Audemars Piguet Royal Oak Offshore Chronograph
26401PO.00.A018CR.01 Audemars Piguet Royal Oak
15500ST.OO.1220ST.01","$54,954",Audemars Piguet,Royal Oak Offshore Chronograph,26401PO.00.A018CR.01,unknown,unknown,unknown,2014,Good,Men's watch/Unisex,44 mm,unknown
21,"Audemars Piguet Royal Oak Lady
15451ST.ZZ.D011CR.01 Audemars Piguet Royal Oak Offshore Lady
Quartz","$35,166",Audemars Piguet,Royal Oak Lady,15451ST.ZZ.D011CR.01,unknown,unknown,unknown,2019,Fair,Women's watch,37 mm,unknown
23,"Audemars Piguet Royal Oak Offshore Chronograph
26470ST.OO.A028CR.01 Audemars Piguet Royal Oak Chronograph
26557OR.ZZ.D098CR.01","$27,136",Audemars Piguet,Royal Oak Offshore Chronograph,26470ST.OO.A028CR.01,unknown,unknown,unknown,2017,Good,Men's watch/Unisex,42 mm,unknown
25,"Audemars Piguet Royal Oak Offshore Lady
26231ST.ZZ.D069CA.01 Audemars Piguet Royal Oak Selfwinding
with Diamonds 77451ST.ZZ.1361ST.03","$46,976",Audemars Piguet,Royal Oak Offshore Lady,26231ST.ZZ.D069CA.01,unknown,unknown,unknown,2019,Good,Women's watch,37 mm,unknown
27,"Audemars Piguet Royal Oak Jumbo
""Jumbo"" Extra-Thin 50th Anniversary 16202PT.OO.1240PT.01 Audemars Piguet Royal Oak Offshore Chronograph
Blue Dial & Orange 26470ST",Price on request,Audemars Piguet,Royal Oak Jumbo,16202PT.OO.1240PT.01,unknown,unknown,unknown,2022,New,Men's watch/Unisex,39 mm,unknown
29,"Audemars Piguet Royal Oak Offshore Chronograph
Platinum Chronograph Blue 26401PO Audemars Piguet Royal Oak Double Balance Wheel Openworked
White Gold Diamonds | 15412BC.ZZ.1220BC.01",Price on request,Audemars Piguet,Royal Oak Offshore Chronograph,26401PO.OO.A018CR.01,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,44 x 14.45 mm,unknown
31,"Audemars Piguet Royal Oak Perpetual Calendar
Burgundy Qatar edition 26574BC.OO.1220BC.01 Audemars Piguet Royal Oak Perpetual Calendar
UAE edition | 26613st.oo.1220st.01",Price on request,Audemars Piguet,Royal Oak Perpetual Calendar,unknown,unknown,unknown,unknown,2023,New,Men's watch/Unisex,41 mm,unknown
33,"Audemars Piguet Royal Oak Perpetual Calendar
Openworked Ceramic 26585CE.OO.1225CE.01 Audemars Piguet Royal Oak Double Balance Wheel Openworked
Frosted Gold ""Rainbow"" Gem-set Openworked 15412OR.YG.1224OR.01-B",Price on request,Audemars Piguet,Royal Oak Perpetual Calendar,26585CE.OO.1225CE.01,unknown,unknown,unknown,Unknown,New,Men's watch/Unisex,41 mm,unknown
35,"Audemars Piguet Royal Oak Perpetual Calendar
in White Ceramic 26579CB Audemars Piguet Royal Oak Double Balance Wheel Openworked
Frosted Gold Openworked 15466BC.GG.1259BC.01",Price on request,Audemars Piguet,Royal Oak Perpetual Calendar,26579CB.OO.1225CB.01,unknown,unknown,unknown,2022 (Approximation),Unworn,Men's watch/Unisex,41 mm,unknown
37,"Audemars Piguet Royal Oak Offshore Chronograph
26238TI.OO.A056CA.01 Audemars Piguet Royal Oak
50th Anniversary Ice Blue Dial with Diamonds 15551ST.ZZ.1356ST.01",Price on request,Audemars Piguet,Royal Oak Offshore Chronograph,26238TI.OO.A056CA.01,unknown,unknown,unknown,2022,New,Men's watch/Unisex,42 mm,unknown
